Player,Team,Nation,Pos,Age,MP,Starts_x,Min,Ast_x,G-PK,PKatt_x,CrdY,CrdR,xG_x,npxG_x,xAG_x,PrgC_x,PrgP_x,PrgR_x,Ast_x,G-PK,G+A-PK,xG_x,xAG_x,xG+xAG,npxG_x,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_y,PKA,PKsv,PKm,Save%,Gls,Sh_x,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_x,PK,PKatt,xG_y,npxG_y,npxG/Sh,G-xG,np:G-xG,Cmp_x,Att_x,Cmp%,TotDist_x,PrgDist_x,Cmp_x,Att_x,Cmp%,Cmp_x,Att_x,Cmp%,Cmp_x,Att_x,Cmp%,Ast_y,xAG_y,xA,A-xAG,KP,1/3_x,PPA,CrsPA,PrgP_y,Live_x,Dead,FK_y,TB,Sw,Crs_x,TI,CK,In,Out,Str,Off_x,Blocks_x,SCA,SCA90,PassLive,PassDead,TO,Sh_y,Fld_x,Def,GCA,GCA90,PassLive,PassDead,TO,Sh_y,Fld_x,Def,Tkl,TklW,Def 3rd_x,Mid 3rd_x,Att 3rd_x,Tkl,Att_y,Tkl%,Lost_x,Blocks_y,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd_y,Mid 3rd_y,Att 3rd_y,Att Pen,Live_y,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_y,PrgDist_y,PrgC_y,1/3_y,CPA,Mis,Dis,Rec,PrgR_y,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,onxG,onxGA,Fls,Fld_y,Off_y,OG,Recov,Won,Lost_y,Won%
José Sá,Wolves,pt POR,GK,30,35,35,"3,037",1,0,0,1,0,0.0,0.0,0.0,0,1,0,0.03,0.00,0.03,0.00,0.00,0.00,0.00,58,1.72,188,131,73.4,12,7,16,4,11.4,8,8,0,0,0.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,720,1097,65.6,17257,11201,186,190,97.9,360,369,97.6,162,522,31.0,1,0.0,0.0,+1.0,1,8,0,0,1,771,323,70,0,1,0,0,0,0,0,0,3,1,3,0.09,3,0,0,0,0,0,1,0.03,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,3,0,3,0,0,21,5,1198,1049,1189,8,1,0,1198,3,3,100.0,0,0.0,677,4662,3131,0,1,1,1,1,481,0,87,33,0,N/a,0,1.23,47,58,42.5,60.2,0,9,0,0,29,10,0,100.0
João Gomes,Wolves,br BRA,MF,22,34,32,"2,649",1,2,0,11,0,1.7,1.7,1.1,28,101,44,0.03,0.07,0.10,0.06,0.04,0.10,0.06,,,,,,,,,,,,,,,,2,26,7,26.9,0.88,0.24,0.08,0.29,18.5,0,0,0,1.7,1.7,0.07,+0.3,+0.3,1051,1279,82.2,15291,4174,596,665,89.6,342,404,84.7,50,94,53.2,1,1.1,1.7,-0.1,20,73,23,5,101,1209,62,35,7,5,25,9,14,4,4,3,8,32,65,2.21,48,4,2,4,2,5,4,0.14,3,0,0,1,0,0,128,74,67,49,12,44,99,44.4,55,51,8,43,18,146,29,2,1626,66,433,859,352,35,1626,55,26,47.3,23,41.8,804,3929,1772,28,22,6,42,44,1010,44,82,18,2,7,1,1.32,38,51,33.2,53.2,66,38,1,0,183,18,25,41.9
João Palhinha,Fulham,pt POR,MF,28,33,31,"2,699",1,4,0,13,0,3.3,3.3,0.8,8,97,14,0.03,0.13,0.17,0.11,0.03,0.14,0.11,,,,,,,,,,,,,,,,4,45,14,31.1,1.50,0.47,0.09,0.29,17.9,1,0,0,3.3,3.3,0.07,+0.7,+0.7,1098,1333,82.4,19131,5348,522,586,89.1,449,503,89.3,101,163,62.0,1,0.8,1.0,+0.2,13,96,7,1,97,1272,55,52,6,20,5,1,0,0,0,0,6,29,33,1.10,23,2,0,4,2,2,2,0.07,1,0,0,1,0,0,152,75,80,60,12,103,152,67.8,49,57,9,48,46,198,58,0,1760,120,569,967,243,41,1760,22,11,50.0,9,40.9,802,2836,1054,8,12,0,29,26,1015,14,86,18,2,23,0,1.06,43,46,37.1,48.5,52,56,2,0,195,40,31,56.3
João Pedro,Brighton,br BRA,"FW,MF",21,31,19,"2,045",3,5,5,2,0,11.9,7.9,3.8,83,92,205,0.13,0.22,0.35,0.53,0.17,0.69,0.35,,,,,,,,,,,,,,,,9,70,20,28.6,3.08,0.88,0.07,0.25,14.4,0,4,5,11.9,7.9,0.11,-2.9,-2.9,659,818,80.6,8706,1876,425,483,88.0,178,217,82.0,24,43,55.8,3,3.8,4.7,-0.8,37,43,44,4,92,775,38,2,6,2,29,10,2,0,0,0,5,26,91,4.01,64,0,7,10,9,1,11,0.48,5,0,2,2,2,0,31,14,10,13,8,14,24,58.3,10,15,2,13,11,42,28,0,1196,32,105,475,629,184,1191,107,43,40.2,45,42.1,787,5003,2295,83,42,47,83,63,949,205,85,9,12,36,0,1.29,32,38,36.3,32.0,19,60,11,0,65,41,22,65.1
Joël Matip,Liverpool,cm CMR,DF,31,10,9,781,0,0,0,2,0,0.5,0.5,0.1,8,34,1,0.00,0.00,0.00,0.06,0.01,0.06,0.06,,,,,,,,,,,,,,,,0,5,0,0.0,0.58,0.00,0.00,N/a,10.6,0,0,0,0.5,0.5,0.10,-0.5,-0.5,494,564,87.6,8687,3066,198,216,91.7,257,287,89.5,33,47,70.2,0,0.1,0.1,-0.1,2,27,2,0,34,559,4,4,0,0,0,0,0,0,0,0,1,4,8,0.92,8,0,0,0,0,0,1,0.12,1,0,0,0,0,0,12,6,7,4,1,8,12,66.7,4,16,12,4,9,21,43,0,665,90,303,327,37,12,665,2,0,0.0,2,100.0,421,2195,1406,8,13,0,3,4,451,1,84,6,1,25,4,2.30,20,9,16.6,11.3,7,3,1,1,58,28,10,73.7
Joël Veltman,Brighton,nl NED,DF,31,27,17,"1,588",1,1,0,4,0,0.4,0.4,0.5,24,85,54,0.06,0.06,0.11,0.02,0.03,0.05,0.02,,,,,,,,,,,,,,,,1,5,3,60.0,0.28,0.17,0.20,0.33,14.2,0,0,0,0.4,0.4,0.08,+0.6,+0.6,758,906,83.7,12317,3297,373,419,89.0,330,376,87.8,48,82,58.5,1,0.5,0.6,+0.5,4,51,8,0,85,786,118,35,2,0,11,83,0,0,0,0,2,16,18,1.02,12,2,0,0,3,1,1,0.06,1,0,0,0,0,0,54,41,32,17,5,39,58,67.2,19,17,7,10,18,72,57,1,1103,95,378,517,213,17,1103,11,1,9.1,5,45.5,601,2532,1076,24,17,0,21,7,657,54,80,13,10,22,2,1.30,28,32,23.6,25.6,17,42,1,0,76,28,21,57.1
Joško Gvardiol,Manchester City,hr CRO,DF,21,28,26,"2,328",1,4,0,3,0,3.1,3.1,1.4,63,136,115,0.04,0.15,0.19,0.12,0.06,0.18,0.12,,,,,,,,,,,,,,,,4,32,13,40.6,1.24,0.50,0.13,0.31,15.6,0,0,0,3.1,3.1,0.10,+0.9,+0.9,1671,1919,87.1,25207,6169,931,1010,92.2,618,695,88.9,77,107,72.0,1,1.4,2.1,-0.4,18,141,16,3,136,1737,178,28,3,10,33,150,0,0,0,0,4,38,54,2.09,40,1,5,2,4,2,7,0.27,6,0,0,0,1,0,55,33,21,24,10,21,38,55.3,17,36,12,24,27,82,37,3,2179,67,452,1124,622,60,2179,45,26,57.8,14,31.1,1285,6099,3249,63,49,15,23,14,1529,115,87,22,2,30,7,2.50,68,23,57.4,24.8,20,22,2,0,150,31,24,56.4
Julio Enciso,Brighton,py PAR,"MF,FW",19,12,5,475,2,0,0,2,0,1.4,1.4,1.7,28,21,29,0.38,0.00,0.38,0.27,0.32,0.59,0.27,,,,,,,,,,,,,,,,0,28,8,28.6,5.31,1.52,0.00,0.00,21.2,0,0,0,1.4,1.4,0.05,-1.4,-1.4,132,178,74.2,1842,562,77,89,86.5,41,58,70.7,9,12,75.0,2,1.7,1.3,+0.3,9,12,4,2,21,168,8,2,2,0,8,1,2,0,0,0,2,5,23,4.34,15,0,5,3,0,0,2,0.38,2,0,0,0,0,0,6,2,3,2,1,2,7,28.6,5,11,0,11,0,6,3,0,257,5,24,106,131,21,257,29,17,58.6,7,24.1,193,1299,839,28,20,7,15,8,202,29,65,0,7,22,1,1.25,8,12,8.6,9.9,6,10,1,0,13,1,2,33.3
Julián Álvarez,Manchester City,ar ARG,"MF,FW",23,36,31,"2,647",8,9,2,2,0,13.0,11.5,6.4,64,103,180,0.27,0.31,0.58,0.44,0.22,0.66,0.39,,,,,,,,,,,,,,,,11,96,37,38.5,3.26,1.26,0.09,0.24,17.8,13,2,2,13.0,11.5,0.12,-2.0,-2.5,1011,1258,80.4,13977,2992,615,679,90.6,272,328,82.9,58,145,40.0,8,6.4,6.3,+1.6,67,43,41,4,103,1069,185,25,9,1,137,7,129,44,36,2,4,27,118,4.01,74,28,4,10,2,0,15,0.51,12,1,0,0,2,0,24,13,5,8,11,8,32,25.0,24,30,0,30,2,26,14,1,1554,20,107,473,988,149,1552,42,20,47.6,22,52.4,914,4459,2092,64,59,28,56,36,1103,180,83,15,5,13,2,2.42,76,24,61.4,25.9,23,13,2,0,98,4,24,14.3
Justin Kluivert,Bournemouth,nl NED,"MF,FW",24,32,26,"1,916",1,7,0,5,0,6.2,6.2,1.9,65,50,114,0.05,0.33,0.38,0.29,0.09,0.38,0.29,,,,,,,,,,,,,,,,7,56,20,35.7,2.63,0.94,0.13,0.35,17.4,3,0,0,6.2,6.2,0.11,+0.8,+0.8,288,421,68.4,4393,1193,147,194,75.8,104,137,75.9,18,32,56.3,1,1.9,1.6,-0.9,21,10,24,2,50,399,18,1,0,3,29,7,2,0,0,1,4,19,59,2.77,37,0,9,6,4,3,5,0.23,3,0,1,0,0,1,28,14,5,12,11,8,30,26.7,22,16,1,15,8,36,11,0,694,13,86,224,397,108,694,67,24,35.8,41,61.2,414,2930,1644,65,37,35,50,30,442,114,68,0,6,24,6,1.22,29,23,33.5,28.7,52,28,5,0,88,12,22,35.3
Jóhann Berg Guðmundsson,Burnley,is ISL,"MF,FW",32,26,12,"1,192",3,1,0,2,0,1.9,1.9,2.7,13,59,69,0.23,0.08,0.30,0.14,0.20,0.34,0.14,,,,,,,,,,,,,,,,1,15,6,40.0,1.13,0.45,0.07,0.17,15.6,1,0,0,1.9,1.9,0.12,-0.9,-0.9,396,544,72.8,7505,2234,164,184,89.1,159,203,78.3,61,124,49.2,3,2.7,2.5,+0.3,35,36,18,6,59,465,77,28,4,5,70,7,39,18,12,5,2,14,50,3.78,28,17,0,2,3,0,5,0.38,3,2,0,0,0,0,13,4,6,5,2,7,16,43.8,9,14,0,14,16,29,16,0,656,25,108,284,268,26,656,16,5,31.3,7,43.8,371,1836,605,13,13,2,20,15,420,69,68,1,14,27,5,0.50,20,25,14.8,21.0,9,20,2,0,56,14,21,40.0
Kai Havertz,Arsenal,de GER,"MF,FW",24,37,30,"2,634",7,12,1,11,0,12.3,11.6,4.4,55,99,191,0.24,0.41,0.65,0.42,0.15,0.57,0.39,,,,,,,,,,,,,,,,13,68,27,39.7,2.32,0.92,0.18,0.44,12.4,0,1,1,12.3,11.6,0.17,+0.7,+0.4,764,955,80.0,9583,2405,525,609,86.2,195,245,79.6,7,15,46.7,7,4.4,4.3,+2.6,46,65,29,1,99,938,12,3,2,0,12,6,0,0,0,0,5,16,106,3.62,87,0,3,8,6,2,22,0.75,16,0,2,2,2,0,35,15,7,21,7,14,39,35.9,25,26,1,25,20,55,22,0,1282,29,143,541,611,184,1281,42,16,38.1,19,45.2,686,3077,1532,55,36,23,54,35,918,191,83,18,7,19,0,2.41,77,22,60.7,20.6,49,44,15,0,122,102,101,50.2
Kalvin Phillips,Manchester City,eng ENG,MF,27,4,0,93,0,0,0,0,0,0.1,0.1,0.0,7,7,3,0.00,0.00,0.00,0.07,0.00,0.07,0.07,,,,,,,,,,,,,,,,0,2,0,0.0,1.94,0.00,0.00,N/a,21.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,62,70,88.6,1067,300,31,32,96.9,24,26,92.3,7,10,70.0,0,0.0,0.1,0.0,0,8,1,1,7,67,3,3,0,0,2,0,0,0,0,0,0,1,1,0.98,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,3,3,1,1,1,0,0,N/a,0,0,0,0,2,5,2,0,87,3,14,52,23,1,87,3,1,33.3,2,66.7,51,402,221,7,5,1,4,2,57,3,N/a,0,4,23,16,2.25,3,2,1.7,1.6,3,2,0,0,8,0,0,N/a
Kaoru Mitoma,Brighton,jp JPN,FW,26,19,15,"1,486",4,3,0,4,0,3.5,3.5,2.7,121,64,239,0.24,0.18,0.42,0.21,0.16,0.37,0.21,,,,,,,,,,,,,,,,3,34,15,44.1,2.06,0.91,0.09,0.20,13.2,0,0,0,3.5,3.5,0.10,-0.5,-0.5,509,650,78.3,6210,1486,357,413,86.4,110,153,71.9,9,24,37.5,4,2.7,3.6,+1.3,25,23,34,5,64,639,9,1,3,0,44,7,1,0,0,0,2,18,62,3.76,47,0,10,3,2,0,10,0.61,6,0,3,1,0,0,13,6,3,7,3,5,19,26.3,14,15,1,14,5,18,12,0,852,17,79,270,514,136,852,94,39,41.5,44,46.8,616,4879,3147,121,54,62,38,15,677,239,88,12,4,42,0,1.42,32,27,29.2,23.8,14,23,7,0,68,11,11,50.0
Keane Lewis-Potter,Brentford,eng ENG,"FW,DF",22,30,15,"1,441",1,3,0,0,0,6.3,6.3,1.7,56,32,135,0.06,0.19,0.25,0.39,0.11,0.50,0.39,,,,,,,,,,,,,,,,3,43,20,46.5,2.69,1.25,0.07,0.15,12.8,0,0,0,6.3,6.3,0.15,-3.3,-3.3,289,415,69.6,4218,969,169,206,82.0,89,119,74.8,19,56,33.9,1,1.7,2.0,-0.7,13,11,14,4,32,404,10,3,2,4,50,6,0,0,0,0,1,13,33,2.06,21,0,6,4,2,0,2,0.12,1,0,0,1,0,0,17,7,5,11,1,7,15,46.7,8,10,2,8,7,24,23,0,604,32,107,173,330,84,604,58,21,36.2,33,56.9,370,2822,1632,56,32,24,30,18,417,135,78,2,15,18,3,0.93,24,29,26.4,20.9,9,18,3,0,62,15,22,40.5
Kenny Tete,Fulham,nl NED,DF,27,14,10,867,0,1,0,2,0,0.9,0.9,0.4,20,54,38,0.00,0.10,0.10,0.09,0.04,0.13,0.09,,,,,,,,,,,,,,,,1,4,1,25.0,0.42,0.10,0.25,1.00,7.9,0,0,0,0.9,0.9,0.21,+0.1,+0.1,418,523,79.9,6413,2614,236,269,87.7,146,181,80.7,27,44,61.4,0,0.4,0.5,-0.4,3,45,10,7,54,438,84,7,1,0,23,77,0,0,0,0,1,13,15,1.56,11,0,2,1,1,0,2,0.21,1,0,0,0,1,0,27,17,19,6,2,11,19,57.9,8,10,3,7,16,43,35,0,647,40,215,278,161,11,647,20,9,45.0,10,50.0,303,1400,650,20,15,2,10,3,366,38,82,5,4,13,14,1.07,14,21,9.5,21.9,16,12,0,0,45,5,5,50.0
Kevin De Bruyne,Manchester City,be BEL,MF,32,18,15,"1,221",10,4,0,2,0,2.4,2.4,11.5,47,111,133,0.74,0.29,1.03,0.18,0.85,1.03,0.18,,,,,,,,,,,,,,,,4,44,17,38.6,3.24,1.25,0.09,0.24,21.4,6,0,0,2.4,2.4,0.05,+1.6,+1.6,732,971,75.4,11555,3364,426,481,88.6,223,293,76.1,66,134,49.3,10,11.5,7.1,-1.5,59,67,56,12,111,840,124,23,11,6,136,24,69,29,16,5,7,27,100,7.36,73,17,2,5,3,0,16,1.18,12,3,0,0,1,0,14,9,1,5,8,7,20,35.0,13,5,0,5,4,18,4,0,1103,2,35,354,724,86,1103,33,10,30.3,21,63.6,633,2916,1647,47,40,12,13,20,833,133,77,5,3,21,3,2.67,40,8,30.8,11.4,11,13,1,0,54,6,5,54.5
Kevin Schade,Brentford,de GER,"FW,MF",21,11,3,333,1,2,0,0,0,1.2,1.2,0.7,8,9,23,0.27,0.54,0.81,0.32,0.19,0.52,0.32,,,,,,,,,,,,,,,,2,8,4,50.0,2.16,1.08,0.25,0.50,15.8,0,0,0,1.2,1.2,0.15,+0.8,+0.8,58,95,61.1,819,220,36,49,73.5,19,32,59.4,2,4,50.0,1,0.7,0.7,+0.3,4,8,3,2,9,93,0,0,1,0,5,0,0,0,0,0,2,4,12,3.22,8,0,1,1,2,0,3,0.81,2,0,0,0,1,0,3,1,1,2,0,0,5,0.0,5,2,0,2,1,4,4,0,148,3,17,59,73,19,148,14,2,14.3,10,71.4,84,631,283,8,3,5,14,6,98,23,73,0,8,14,0,1.45,8,5,6.1,3.7,10,6,2,0,23,17,14,54.8
Kieffer Moore,Bournemouth,wls WAL,"FW,MF",30,8,0,108,0,1,0,0,0,1.5,1.5,0.2,2,4,15,0.00,0.83,0.83,1.23,0.20,1.44,1.23,,,,,,,,,,,,,,,,1,6,2,33.3,5.00,1.67,0.17,0.50,12.5,0,0,0,1.5,1.5,0.25,-0.5,-0.5,28,42,66.7,272,91,22,29,75.9,4,8,50.0,0,0,N/a,0,0.2,0.3,-0.2,2,2,2,0,4,41,1,0,0,0,2,0,0,0,0,0,0,3,5,4.17,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,N/a,0,0,0,0,0,0,0,0,53,0,2,21,30,12,53,3,1,33.3,1,33.3,29,93,34,2,0,0,3,1,47,15,N/a,0,8,14,8,0.88,3,2,4.7,2.5,5,2,0,0,4,6,6,50.0
Kieran Trippier,Newcastle Utd,eng ENG,DF,32,28,26,"2,236",10,1,0,5,0,0.7,0.7,7.5,34,157,128,0.40,0.04,0.44,0.03,0.30,0.33,0.03,,,,,,,,,,,,,,,,1,8,2,25.0,0.32,0.08,0.13,0.50,23.8,4,0,0,0.7,0.7,0.08,+0.3,+0.3,1624,2130,76.2,29797,10999,693,783,88.5,728,874,83.3,187,382,49.0,10,7.5,7.1,+2.5,65,111,52,19,157,1705,418,109,1,12,212,197,112,42,38,8,7,42,101,4.07,68,28,1,0,2,2,11,0.44,7,3,0,0,0,1,57,27,30,16,11,37,77,48.1,40,41,8,33,24,81,57,3,2344,96,732,969,665,36,2344,22,16,72.7,6,27.3,1078,4247,2049,34,37,5,20,9,1411,128,86,21,2,6,0,1.46,49,43,45.1,39.5,27,21,3,0,162,31,17,64.6
Kobbie Mainoo,Manchester Utd,eng ENG,MF,18,24,24,"1,924",1,3,0,3,0,0.9,0.9,0.7,25,64,36,0.05,0.14,0.19,0.04,0.03,0.07,0.04,,,,,,,,,,,,,,,,3,11,5,45.5,0.51,0.23,0.27,0.60,21.1,0,0,0,0.9,0.9,0.08,+2.1,+2.1,748,868,86.2,10519,2654,439,486,90.3,237,266,89.1,31,51,60.8,1,0.7,1.6,+0.3,15,47,9,1,64,863,5,4,8,3,6,0,0,0,0,0,0,16,40,1.87,31,0,3,3,2,1,8,0.37,3,0,2,2,1,0,47,27,20,16,11,21,45,46.7,24,20,12,8,22,69,30,1,1094,62,302,568,236,30,1094,58,31,53.4,22,37.9,667,3152,1447,25,22,6,29,24,767,36,80,7,0,N/a,5,1.50,33,31,28.4,42.4,15,23,0,0,96,19,26,42.2
Konstantinos Mavropanos,West Ham,gr GRE,DF,25,19,16,"1,500",0,1,0,2,0,1.2,1.2,0.2,10,38,2,0.00,0.06,0.06,0.07,0.01,0.08,0.07,,,,,,,,,,,,,,,,1,12,2,16.7,0.72,0.12,0.08,0.50,9.3,0,0,0,1.2,1.2,0.10,-0.2,-0.2,482,635,75.9,9625,3911,155,179,86.6,266,303,87.8,53,131,40.5,0,0.2,0.1,-0.2,3,29,1,0,38,597,36,29,1,11,1,5,0,0,0,0,2,7,10,0.60,7,0,0,1,0,2,0,0.00,0,0,0,0,0,0,28,16,17,9,2,17,21,81.0,4,21,13,8,23,51,79,3,821,117,421,372,34,19,821,6,2,33.3,2,33.3,393,2338,1349,10,1,1,7,0,419,2,88,15,3,30,10,1.32,27,27,23.7,29.4,15,10,0,2,70,44,23,65.7
Kostas Tsimikas,Liverpool,gr GRE,DF,27,13,8,679,3,0,0,0,0,0.1,0.1,1.0,24,31,73,0.40,0.00,0.40,0.01,0.14,0.15,0.01,,,,,,,,,,,,,,,,0,3,0,0.0,0.40,0.00,0.00,N/a,23.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,383,500,76.6,6585,1715,185,206,89.8,145,183,79.2,42,85,49.4,3,1.0,1.3,+2.0,16,16,7,4,31,389,110,14,0,1,72,67,29,7,22,0,1,10,32,4.24,20,9,0,0,2,1,2,0.27,2,0,0,0,0,0,19,13,9,6,4,9,15,60.0,6,9,1,8,6,25,10,0,573,17,119,235,225,17,573,15,4,26.7,10,66.7,310,1689,861,24,20,3,9,4,338,73,79,6,5,9,17,2.15,16,7,14.3,8.4,11,7,1,0,43,3,13,18.8
Kristoffer Ajer,Brentford,no NOR,DF,25,28,21,"1,832",1,2,0,5,0,1.3,1.3,2.3,22,61,31,0.05,0.10,0.15,0.06,0.11,0.18,0.06,,,,,,,,,,,,,,,,2,12,4,33.3,0.59,0.20,0.17,0.50,9.9,0,0,0,1.3,1.3,0.11,+0.7,+0.7,610,810,75.3,10210,3786,291,337,86.4,263,332,79.2,45,103,43.7,1,2.3,2.7,-1.3,12,56,10,3,61,730,79,9,1,9,22,65,0,0,0,0,1,11,27,1.33,24,0,1,2,0,0,3,0.15,3,0,0,0,0,0,38,21,25,9,4,23,36,63.9,13,26,11,15,25,63,79,1,1042,112,430,457,158,58,1042,12,10,83.3,2,16.7,464,2367,1435,22,11,5,16,6,563,31,84,13,7,11,1,1.14,28,33,32.5,29.6,25,10,1,0,60,63,23,73.3
Kurt Zouma,West Ham,fr FRA,DF,28,33,32,"2,838",0,3,0,3,0,1.8,1.8,0.2,7,53,1,0.00,0.10,0.10,0.06,0.01,0.06,0.06,,,,,,,,,,,,,,,,3,16,7,43.8,0.51,0.22,0.19,0.43,9.1,0,0,0,1.8,1.8,0.12,+1.2,+1.2,962,1148,83.8,18843,6791,335,365,91.8,509,558,91.2,111,198,56.1,0,0.2,0.1,-0.2,4,57,1,0,53,1096,50,39,1,28,0,3,0,0,0,0,2,10,13,0.41,11,0,0,1,1,0,2,0.06,2,0,0,0,0,0,23,17,14,9,0,10,16,62.5,6,38,28,10,29,52,160,0,1455,275,798,626,34,28,1455,3,2,66.7,1,33.3,794,3751,2019,7,5,1,13,3,873,1,88,29,1,31,1,1.39,53,63,43.4,59.2,24,6,0,0,95,58,43,57.4
Kyle Walker,Manchester City,eng ENG,DF,33,32,30,"2,767",4,0,0,2,0,0.4,0.4,2.6,74,157,172,0.13,0.00,0.13,0.01,0.09,0.10,0.01,,,,,,,,,,,,,,,,0,16,3,18.8,0.52,0.10,0.00,0.00,29.4,1,0,0,0.4,0.4,0.02,-0.4,-0.4,2128,2404,88.5,36091,8306,992,1057,93.9,932,1020,91.4,166,246,67.5,4,2.6,3.2,+1.4,25,199,32,13,157,2162,241,33,6,20,59,208,0,0,0,0,1,31,62,2.02,57,1,1,1,2,0,11,0.36,9,0,1,1,0,0,38,24,19,17,2,19,39,48.7,20,19,6,13,27,65,40,1,2613,77,526,1358,749,41,2613,35,21,60.0,11,31.4,1509,7514,4015,74,67,7,24,13,1925,172,89,27,2,52,3,2.34,78,29,65.1,29.5,23,18,7,0,152,25,15,62.5
Leander Dendoncker,Aston Villa,be BEL,MF,28,8,1,119,0,1,0,0,0,0.7,0.7,0.0,0,3,2,0.00,0.76,0.76,0.56,0.00,0.56,0.56,,,,,,,,,,,,,,,,1,2,1,50.0,1.51,0.76,0.50,1.00,12.5,0,0,0,0.7,0.7,0.37,+0.3,+0.3,45,56,80.4,744,139,24,28,85.7,19,22,86.4,2,4,50.0,0,0.0,0.0,0.0,0,1,0,0,3,56,0,0,0,1,0,0,0,0,0,0,0,0,2,1.51,1,0,0,0,1,0,1,0.76,0,0,0,0,1,0,6,4,3,2,1,4,5,80.0,1,5,2,3,2,8,3,1,80,4,31,39,12,2,80,0,0,N/a,0,N/a,36,124,27,0,1,0,2,1,39,2,85,0,7,5,10,2.25,3,3,2.6,1.7,1,1,0,0,4,4,5,44.4
Leandro Trossard,Arsenal,be BEL,"FW,MF",28,34,18,"1,649",1,12,0,2,0,7.9,7.9,2.8,66,76,155,0.05,0.65,0.71,0.43,0.15,0.58,0.43,,,,,,,,,,,,,,,,12,60,22,36.7,3.27,1.20,0.20,0.55,16.1,0,0,0,7.9,7.9,0.13,+4.1,+4.1,494,673,73.4,7666,1927,271,315,86.0,181,241,75.1,31,60,51.7,1,2.8,3.2,-1.8,24,28,29,4,76,625,46,6,8,2,57,8,24,22,0,0,2,30,65,3.55,46,3,7,5,4,0,6,0.33,1,1,2,0,2,0,27,16,8,9,10,9,25,36.0,16,27,1,26,8,35,6,0,912,15,105,318,502,121,912,47,25,53.2,16,34.0,591,3651,1732,66,43,27,47,39,650,155,72,3,16,22,3,2.32,45,10,37.3,13.6,15,20,9,0,88,5,10,33.3
Leon Bailey,Aston Villa,jm JAM,"MF,FW",25,35,22,"2,068",9,10,0,5,0,6.3,6.3,9.2,102,82,226,0.39,0.44,0.83,0.27,0.40,0.67,0.27,,,,,,,,,,,,,,,,10,53,18,34.0,2.31,0.78,0.19,0.56,16.1,1,0,0,6.3,6.3,0.12,+3.7,+3.7,573,790,72.5,8993,2559,327,391,83.6,184,242,76.0,48,82,58.5,9,9.2,7.3,-0.2,52,38,51,7,82,745,40,2,11,7,75,9,29,20,0,0,5,38,97,4.22,70,7,9,7,3,1,11,0.48,7,1,1,2,0,0,13,7,7,4,2,5,20,25.0,15,18,1,17,9,22,6,0,1040,19,151,318,589,129,1040,119,57,47.9,50,42.0,717,5148,2495,102,47,41,51,41,764,226,76,3,13,31,1,1.77,53,32,43.0,35.8,26,26,11,0,107,14,24,36.8
Leon Chiwome,Wolves,eng ENG,FW,17,3,2,174,0,0,0,0,0,0.1,0.1,0.0,1,2,7,0.00,0.00,0.00,0.05,0.00,0.05,0.05,,,,,,,,,,,,,,,,0,2,0,0.0,1.03,0.00,0.00,N/a,11.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,19,22,86.4,244,59,12,13,92.3,6,6,100.0,1,1,100.0,0,0.0,0.0,0.0,0,2,0,0,2,18,4,0,0,0,0,0,0,0,0,0,0,1,1,0.52,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2,1,0,1,1,1,2,50.0,1,3,1,2,0,2,2,0,39,3,5,25,10,4,39,0,0,N/a,0,N/a,16,86,50,1,0,1,3,2,18,7,79,0,1,16,1,0.33,1,4,2.2,2.2,2,2,2,0,5,2,6,25.0
Lesley Ugochukwu,Chelsea,fr FRA,MF,19,12,3,301,0,0,0,2,0,0.0,0.0,0.1,8,17,3,0.00,0.00,0.00,0.00,0.03,0.03,0.00,,,,,,,,,,,,,,,,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,155,183,84.7,2510,683,79,90,87.8,63,73,86.3,10,11,90.9,0,0.1,0.1,-0.1,3,11,5,0,17,183,0,0,0,1,0,0,0,0,0,0,0,2,5,1.50,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,14,10,4,8,2,4,10,40.0,6,6,2,4,1,15,5,0,214,14,66,120,31,2,214,6,3,50.0,1,16.7,128,620,358,8,2,2,3,3,162,3,72,1,9,9,5,1.50,3,6,6.8,7.5,4,2,0,0,12,9,2,81.8
